estimators,max_depth,backend,threads,nodes,dataset,accuracy,f1,train_time,predict_time
8,0,seq,1,1,iris,0.966667,0.967963,0.9045926,0.0110034
16,0,ff,2,1,iris,0.966667,0.967963,1.735292,0.5585864
16,0,ff,4,1,iris,0.966667,0.967963,1.64174,0.9412712
16,0,ff,8,1,iris,0.966667,0.967963,1.908554,2.0482
16,0,ff,16,1,iris,0.966667,0.967963,3.260486,4.858932
16,0,ff,32,1,iris,0.966667,0.967963,5.10784,8.373482
16,0,omp,2,1,iris,0.966667,0.967963,1.084016,0.0161668
16,0,omp,4,1,iris,0.966667,0.967963,0.890814,0.022334
16,0,omp,8,1,iris,0.966667,0.967963,0.9847994,0.027001
16,0,omp,16,1,iris,0.966667,0.967963,1.83453,0.0359608
16,0,omp,32,1,iris,0.966667,0.967963,2.70873,0.0462716
16,0,seq,1,1,iris,0.966667,0.967963,1.720282,0.0156044
32,0,ff,2,1,iris,0.966667,0.967963,2.923536,0.6060616
32,0,ff,4,1,iris,0.966667,0.967963,2.2389520000000003,0.8964252
32,0,ff,8,1,iris,0.966667,0.967963,2.176494,2.221666
32,0,ff,16,1,iris,0.966667,0.967963,3.413422,4.640978
32,0,ff,32,1,iris,0.966667,0.967963,5.367316,9.353502
32,0,mpi,8,2,iris,0.966667,0.967963,1.2884218,10.69046
32,0,mpi,8,4,iris,0.966667,0.967963,1.145124,10.099986
32,0,mpi,8,6,iris,0.966667,0.967963,0.9031092,21.88624
32,0,mpi,8,8,iris,0.966667,0.967963,0.9707568,8.890406
32,0,mpi,16,2,iris,0.966667,0.967963,2.06198,10.62612
32,0,mpi,16,4,iris,0.966667,0.967963,1.721422,8.665404
32,0,mpi,16,6,iris,0.966667,0.967963,1.351974,18.25152
32,0,mpi,16,8,iris,0.966667,0.967963,1.420816,9.171016
32,0,mpi,32,2,iris,0.966667,0.967963,3.246696,10.96711
32,0,mpi,32,4,iris,0.966667,0.967963,2.577574,12.32856
32,0,mpi,32,6,iris,0.966667,0.967963,2.08608,18.69932
32,0,mpi,32,8,iris,0.966667,0.967963,2.162992,14.29316
32,0,omp,2,1,iris,0.966667,0.967963,2.008652,0.0231298
32,0,omp,4,1,iris,0.966667,0.967963,1.438384,0.0284864
32,0,omp,8,1,iris,0.966667,0.967963,1.333716,0.0332876
32,0,omp,16,1,iris,0.966667,0.967963,1.78234,0.0441736
32,0,omp,32,1,iris,0.966667,0.967963,3.497528,0.0539184
32,0,seq,1,1,iris,0.966667,0.967963,3.35733,0.0245966
64,0,ff,2,1,iris,0.966667,0.967963,4.843634,0.6083928000000001
64,0,ff,4,1,iris,0.966667,0.967963,3.174548,0.943026
64,0,ff,8,1,iris,0.966667,0.967963,3.1502220000000003,2.160048
64,0,ff,16,1,iris,0.966667,0.967963,3.545096,4.662508
64,0,ff,32,1,iris,0.966667,0.967963,5.102962,8.082906
