dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
magic,seq,64,0,0.999685,31.4196,0.127184,1,1
magic,omp,64,0,0.99979,24.0558,0.0990694,2,1
magic,omp,64,0,0.999842,12.6022,0.0548292,4,1
magic,omp,64,0,0.999895,6.56916,0.0312062,8,1
magic,omp,64,0,0.999632,3.28509,0.0184524,16,1
magic,omp,64,0,0.999895,1.71026,0.0147885,32,1
magic,ff,64,0,0.99979,1.67367,0.0183518,32,1
magic,seq,128,0,1.0,62.9063,0.251688,1,1
magic,omp,128,0,1.0,48.1177,0.196123,2,1
magic,omp,128,0,1.0,25.2473,0.106415,4,1
magic,omp,128,0,1.0,12.9577,0.0580743,8,1
magic,omp,128,0,1.0,6.60909,0.0319839,16,1
magic,omp,128,0,1.0,3.2909,0.0225335,32,1
magic,ff,128,0,1.0,3.33623,0.0548858,32,1
magic,seq,256,0,1.0,128.989,0.505347,1,1
magic,omp,256,0,1.0,96.722,0.399098,2,1
magic,omp,256,0,1.0,50.565,0.216906,4,1
magic,omp,256,0,1.0,25.8254,0.112871,8,1
magic,omp,256,0,1.0,13.0591,0.057887,16,1
magic,omp,256,0,1.0,6.54335,0.0369847,32,1
magic,ff,256,0,1.0,6.59612,0.0399114,32,1
magic,seq,512,0,1.0,254.461,1.03651,1,1
magic,omp,512,0,1.0,191.752,0.83815,2,1
magic,omp,512,0,1.0,100.757,0.444413,4,1
magic,omp,512,0,1.0,51.9392,0.226995,8,1
magic,omp,512,0,1.0,25.8828,0.117151,16,1
magic,omp,512,0,1.0,13.0124,0.0666394,32,1
magic,ff,512,0,1.0,12.9869,0.0731125,32,1
