estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,ff,1,1,breast_cancer,1.0,1.0,0.955752,0.94866,226.0302,1.435664,0.7213136
32,0,ff,2,1,breast_cancer,1.0,1.0,0.955752,0.94866,123.149,1.11197,0.6342002
32,0,ff,4,1,breast_cancer,1.0,1.0,0.955752,0.94866,62.951840000000004,1.24516,1.026527
32,0,ff,8,1,breast_cancer,1.0,1.0,0.955752,0.94866,32.79872,2.233218,2.122102
32,0,ff,16,1,breast_cancer,1.0,1.0,0.955752,0.94866,19.083859999999998,5.266617999999999,5.134266
32,0,ff,32,1,breast_cancer,1.0,1.0,0.955752,0.94866,16.3273,11.070348,9.284172000000002
32,0,mpi,1,1,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,225.58360000000002,0.36461920000000003,0.086899
32,0,mpi,1,2,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,114.2234,10.92594,0.0645422
32,0,mpi,1,4,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,56.535379999999996,13.83614,0.039268800000000006
32,0,mpi,1,8,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,28.27838,15.04144,0.0417272
32,0,mpi,2,1,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,119.9612,0.23801920000000001,0.058750199999999995
32,0,mpi,2,2,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,62.65840000000001,10.844100000000001,0.0590924
32,0,mpi,2,4,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,31.68306,14.17852,0.03805
32,0,mpi,2,8,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,15.955580000000001,13.60554,0.026158999999999998
32,0,mpi,4,1,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,60.95294,0.203276,0.0601592
32,0,mpi,4,2,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,32.496300000000005,10.88788,0.0726862
32,0,mpi,4,4,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,16.2803,12.87882,0.0485068
32,0,mpi,4,8,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,8.824340000000001,12.906380000000002,0.0444304
32,0,mpi,8,1,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,33.135419999999996,0.1624758,0.053808999999999996
32,0,mpi,8,2,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,17.933600000000002,10.81176,0.0696016
32,0,mpi,8,4,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,9.686734,14.476499999999998,0.042607599999999995
32,0,mpi,8,8,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,9.254017999999999,18.59984,0.0541948
32,0,mpi,16,1,breast_cancer,1.0,1.0,0.964602,0.9586080000000001,19.522219999999997,0.17149160000000002,0.0579392
