estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,ff,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,6.268526,0.7206056000000001,0.44458839999999994
32,0,ff,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.758692,0.7732758000000001,0.5482250000000001
32,0,ff,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.4879059999999997,1.0194012000000001,0.9645424
32,0,ff,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.310448,2.008172,1.8392959999999998
32,0,ff,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.53525,4.86977,4.301242
32,0,ff,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.447354,8.74792,8.078356
32,0,mpi,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.889918,0.1081966,0.021941
32,0,mpi,1,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.005648,9.897596,0.0212158
32,0,mpi,1,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.54173,11.08176,0.020255600000000002
32,0,mpi,1,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.8530110000000001,11.4588,0.0148424
32,0,mpi,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.1040400000000004,0.09953300000000001,0.0194292
32,0,mpi,2,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.701556,10.00057,0.027726400000000002
32,0,mpi,2,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.9402758,11.18828,0.0295654
32,0,mpi,2,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.5528116,11.40112,0.0253506
32,0,mpi,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.9470040000000002,0.10038,0.030272399999999998
32,0,mpi,4,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.344706,10.357338,0.0436978
32,0,mpi,4,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.1435358,10.110276,0.0473682
32,0,mpi,4,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,0.6857966,12.1035,0.04438
32,0,mpi,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.707612,0.0896972,0.031180799999999998
32,0,mpi,8,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.6005420000000001,9.472368,0.0487948
32,0,mpi,8,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.2312020000000001,11.33874,0.0482398
32,0,mpi,8,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.0646716,12.034980000000001,0.0470852
