estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,seq,1,1,iris,1,1,0.966667,0.967963,5.31858,0.150844,0.035404
32,0,seq,1,1,iris,1,1,0.966667,0.967963,5.32738,0.148535,0.034757
32,0,seq,1,1,iris,1,1,0.966667,0.967963,5.31892,0.160437,0.034991
32,0,seq,1,1,iris,1,1,0.966667,0.967963,5.31582,0.147562,0.033649
32,0,seq,1,1,iris,1,1,0.966667,0.967963,5.30947,0.149119,0.035257
64,0,seq,1,1,iris,1,1,0.966667,0.967963,11.4696,0.285288,0.062645
64,0,seq,1,1,iris,1,1,0.966667,0.967963,10.8565,0.282498,0.062377
64,0,seq,1,1,iris,1,1,0.966667,0.967963,10.8893,0.281726,0.062692
64,0,seq,1,1,iris,1,1,0.966667,0.967963,11.4956,0.276689,0.062849
64,0,seq,1,1,iris,1,1,0.966667,0.967963,10.9147,0.271828,0.062488
128,0,seq,1,1,iris,1,1,0.966667,0.967963,22.2083,0.479013,0.114019
128,0,seq,1,1,iris,1,1,0.966667,0.967963,21.813,0.488226,0.110283
128,0,seq,1,1,iris,1,1,0.966667,0.967963,21.2175,0.47667,0.10821
128,0,seq,1,1,iris,1,1,0.966667,0.967963,22.3639,0.463138,0.107135
128,0,seq,1,1,iris,1,1,0.966667,0.967963,21.6129,0.481125,0.10744
256,0,seq,1,1,iris,1,1,0.966667,0.967963,42.7056,0.879707,0.200324
256,0,seq,1,1,iris,1,1,0.966667,0.967963,42.7044,0.883764,0.200716
256,0,seq,1,1,iris,1,1,0.966667,0.967963,43.5808,0.917342,0.201061
256,0,seq,1,1,iris,1,1,0.966667,0.967963,42.4651,0.907764,0.203075
256,0,seq,1,1,iris,1,1,0.966667,0.967963,42.8303,0.875046,0.200753
32,0,omp,1,1,iris,1,1,0.966667,0.967963,5.69353,0.183629,0.039912
32,0,omp,1,1,iris,1,1,0.966667,0.967963,5.38595,0.183931,0.03972
32,0,omp,1,1,iris,1,1,0.966667,0.967963,5.64194,0.207431,0.042536
32,0,omp,1,1,iris,1,1,0.966667,0.967963,5.70889,0.186644,0.053257
32,0,omp,1,1,iris,1,1,0.966667,0.967963,5.62689,0.202564,0.042972
32,0,omp,2,1,iris,1,1,0.966667,0.967963,3.10216,0.116683,0.028298
32,0,omp,2,1,iris,1,1,0.966667,0.967963,3.09893,0.112458,0.028987
32,0,omp,2,1,iris,1,1,0.966667,0.967963,3.15601,0.105395,0.027993
32,0,omp,2,1,iris,1,1,0.966667,0.967963,3.15034,0.114401,0.028517
32,0,omp,2,1,iris,1,1,0.966667,0.967963,3.06256,0.141801,0.029988
32,0,omp,4,1,iris,1,1,0.966667,0.967963,2.41711,0.087986,0.029508
32,0,omp,4,1,iris,1,1,0.966667,0.967963,2.42972,0.109823,0.031368
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.98884,0.090794,0.031459
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.99097,0.097005,0.030804
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.94212,0.086093,0.030737
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.53371,0.094603,0.033193
32,0,omp,8,1,iris,1,1,0.966667,0.967963,2.04319,0.086203,0.034325
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.57163,0.085459,0.033794
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.54571,0.079496,0.032927
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.54979,0.085741,0.034385
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.84638,0.0765,0.037012
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.9491,0.079644,0.053713
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.97815,0.080009,0.037095
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.92229,0.081238,0.03756
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.90535,0.074558,0.034574
32,0,omp,32,1,iris,1,1,0.966667,0.967963,3.45252,0.105371,0.049503
32,0,omp,32,1,iris,1,1,0.966667,0.967963,3.74883,0.106579,0.048411
32,0,omp,32,1,iris,1,1,0.966667,0.967963,4.68958,2.20958,0.048578
32,0,omp,32,1,iris,1,1,0.966667,0.967963,3.37273,0.104749,0.061498
32,0,omp,32,1,iris,1,1,0.966667,0.967963,3.30578,0.106427,0.047856
64,0,omp,1,1,iris,1,1,0.966667,0.967963,11.5422,0.312479,0.071127
64,0,omp,1,1,iris,1,1,0.966667,0.967963,11.3849,0.32789,0.069945
64,0,omp,1,1,iris,1,1,0.966667,0.967963,11.6022,0.304044,0.070028
64,0,omp,1,1,iris,1,1,0.966667,0.967963,11.5926,0.345627,0.070994
64,0,omp,1,1,iris,1,1,0.966667,0.967963,11.4756,0.350645,0.087607
64,0,omp,2,1,iris,1,1,0.966667,0.967963,6.15745,0.175403,0.044899
64,0,omp,2,1,iris,1,1,0.966667,0.967963,6.15355,0.177986,0.044923
64,0,omp,2,1,iris,1,1,0.966667,0.967963,6.20693,0.18587,0.046068
64,0,omp,2,1,iris,1,1,0.966667,0.967963,6.17335,0.207539,0.046744
64,0,omp,2,1,iris,1,1,0.966667,0.967963,6.12423,0.184509,0.044857
64,0,omp,4,1,iris,1,1,0.966667,0.967963,3.46592,0.145116,0.045755
64,0,omp,4,1,iris,1,1,0.966667,0.967963,3.50208,0.156748,0.057399
64,0,omp,4,1,iris,1,1,0.966667,0.967963,3.43914,0.139628,0.048219
64,0,omp,4,1,iris,1,1,0.966667,0.967963,3.54166,0.169831,0.046954
64,0,omp,4,1,iris,1,1,0.966667,0.967963,3.47338,0.139336,0.049488
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.38249,0.117639,0.047147
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.83334,0.11451,0.045919
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.36519,0.117985,0.047099
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.33961,0.11601,0.048616
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.33821,0.121998,0.048917
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.23462,0.100294,0.050482
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.25247,0.097652,0.050697
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.29795,0.099725,0.052406
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.31789,0.104579,0.052435
64,0,omp,16,1,iris,1,1,0.966667,0.967963,2.25284,0.104413,0.050993
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.85304,0.134217,0.062756
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.589,0.12788,0.088354
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.5547,0.142454,0.062998
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.63646,0.165283,0.057833
64,0,omp,32,1,iris,1,1,0.966667,0.967963,3.84073,0.140571,0.058342
128,0,omp,1,1,iris,1,1,0.966667,0.967963,22.1607,0.543877,0.117296
128,0,omp,1,1,iris,1,1,0.966667,0.967963,21.8598,0.542675,0.116687
128,0,omp,1,1,iris,1,1,0.966667,0.967963,22.2549,0.540356,0.119732
128,0,omp,1,1,iris,1,1,0.966667,0.967963,22.7105,0.571153,0.116066
128,0,omp,1,1,iris,1,1,0.966667,0.967963,22.1644,0.544862,0.123499
128,0,omp,2,1,iris,1,1,0.966667,0.967963,11.7603,0.338707,0.074821
128,0,omp,2,1,iris,1,1,0.966667,0.967963,11.8306,0.333808,0.074095
128,0,omp,2,1,iris,1,1,0.966667,0.967963,11.8366,0.344513,0.075287
128,0,omp,2,1,iris,1,1,0.966667,0.967963,11.8194,0.341661,0.074897
128,0,omp,2,1,iris,1,1,0.966667,0.967963,11.8351,0.344418,0.079419
128,0,omp,4,1,iris,1,1,0.966667,0.967963,6.4313,0.236822,0.113905
128,0,omp,4,1,iris,1,1,0.966667,0.967963,6.33845,0.220603,0.090645
128,0,omp,4,1,iris,1,1,0.966667,0.967963,6.93426,0.225691,0.098108
