estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,seq,1,1,magic,0.998488,0.998341,0.876446,0.859706,12234.3,55.0325,14.5752
32,0,seq,1,1,magic,0.998488,0.998341,0.876446,0.859706,12340.8,54.492,14.4891
32,0,seq,1,1,magic,0.998488,0.998341,0.876446,0.859706,12255.3,54.8053,14.5371
32,0,seq,1,1,magic,0.998488,0.998341,0.876446,0.859706,12351.8,54.6411,14.6155
32,0,seq,1,1,magic,0.998488,0.998341,0.876446,0.859706,12255.6,54.6377,14.5482
64,0,seq,1,1,magic,0.999803,0.999784,0.878812,0.862078,24567.0,105.374,28.2494
64,0,seq,1,1,magic,0.999803,0.999784,0.878812,0.862078,24632.3,105.163,27.9749
64,0,seq,1,1,magic,0.999803,0.999784,0.878812,0.862078,24881.0,105.309,28.511
64,0,seq,1,1,magic,0.999803,0.999784,0.878812,0.862078,24205.7,105.355,28.449
64,0,seq,1,1,magic,0.999803,0.999784,0.878812,0.862078,24442.8,105.374,28.7428
128,0,seq,1,1,magic,1.0,1.0,0.87408,0.856753,49188.5,208.036,56.8183
128,0,seq,1,1,magic,1.0,1.0,0.87408,0.856753,48585.7,208.408,56.6668
128,0,seq,1,1,magic,1.0,1.0,0.87408,0.856753,48626.0,208.644,56.7876
128,0,seq,1,1,magic,1.0,1.0,0.87408,0.856753,48692.0,207.847,56.6616
128,0,seq,1,1,magic,1.0,1.0,0.87408,0.856753,48536.6,210.112,60.341
256,0,seq,1,1,magic,1.0,1.0,0.878286,0.861595,98025.1,415.456,114.511
256,0,seq,1,1,magic,1.0,1.0,0.878286,0.861595,97751.4,419.79,118.195
256,0,seq,1,1,magic,1.0,1.0,0.878286,0.861595,100015.0,421.663,119.08
256,0,seq,1,1,magic,1.0,1.0,0.878286,0.861595,96692.6,423.227,121.58
256,0,seq,1,1,magic,1.0,1.0,0.878286,0.861595,96870.0,417.289,115.892
32,0,omp,1,1,magic,0.998488,0.998341,0.876446,0.859706,12405.1,55.7377,14.5281
32,0,omp,1,1,magic,0.998488,0.998341,0.876446,0.859706,12346.3,56.2391,14.5683
32,0,omp,1,1,magic,0.998488,0.998341,0.876446,0.859706,12341.4,56.2175,14.595
32,0,omp,1,1,magic,0.998488,0.998341,0.876446,0.859706,12452.0,55.6892,14.3168
32,0,omp,1,1,magic,0.998488,0.998341,0.876446,0.859706,12345.6,55.7381,14.3427
32,0,omp,2,1,magic,0.998488,0.998341,0.876446,0.859706,6411.38,31.2517,7.9136
32,0,omp,2,1,magic,0.998488,0.998341,0.876446,0.859706,6515.48,31.2116,7.93855
32,0,omp,2,1,magic,0.998488,0.998341,0.876446,0.859706,6442.15,31.2436,7.93129
32,0,omp,2,1,magic,0.998488,0.998341,0.876446,0.859706,6427.76,31.1626,7.95402
32,0,omp,2,1,magic,0.998488,0.998341,0.876446,0.859706,6421.5,30.9034,7.97553
32,0,omp,4,1,magic,0.998488,0.998341,0.876446,0.859706,3249.85,19.7185,5.03166
32,0,omp,4,1,magic,0.998488,0.998341,0.876446,0.859706,3306.23,20.0831,5.02625
32,0,omp,4,1,magic,0.998488,0.998341,0.876446,0.859706,3336.55,19.7629,5.00433
32,0,omp,4,1,magic,0.998488,0.998341,0.876446,0.859706,3261.77,19.8801,4.96097
32,0,omp,4,1,magic,0.998488,0.998341,0.876446,0.859706,3290.15,19.5559,4.9684
32,0,omp,8,1,magic,0.998488,0.998341,0.876446,0.859706,1765.3,12.7854,3.19057
32,0,omp,8,1,magic,0.998488,0.998341,0.876446,0.859706,1724.83,12.5063,3.17493
32,0,omp,8,1,magic,0.998488,0.998341,0.876446,0.859706,1723.13,12.9894,3.20337
32,0,omp,8,1,magic,0.998488,0.998341,0.876446,0.859706,1722.74,11.5908,3.12834
32,0,omp,8,1,magic,0.998488,0.998341,0.876446,0.859706,1720.18,12.6375,3.37919
32,0,omp,16,1,magic,0.998488,0.998341,0.876446,0.859706,868.006,5.85357,1.81055
32,0,omp,16,1,magic,0.998488,0.998341,0.876446,0.859706,869.591,5.94218,1.80099
32,0,omp,16,1,magic,0.998488,0.998341,0.876446,0.859706,866.883,5.84257,1.79618
32,0,omp,16,1,magic,0.998488,0.998341,0.876446,0.859706,861.685,6.03376,1.82063
32,0,omp,16,1,magic,0.998488,0.998341,0.876446,0.859706,859.522,6.05459,1.80109
32,0,omp,32,1,magic,0.998488,0.998341,0.876446,0.859706,669.537,5.80808,1.69332
32,0,omp,32,1,magic,0.998488,0.998341,0.876446,0.859706,656.739,5.78172,1.66414
32,0,omp,32,1,magic,0.998488,0.998341,0.876446,0.859706,665.619,5.78854,1.70478
32,0,omp,32,1,magic,0.998488,0.998341,0.876446,0.859706,657.517,5.80474,1.69875
32,0,omp,32,1,magic,0.998488,0.998341,0.876446,0.859706,664.867,5.71574,1.69608
64,0,omp,1,1,magic,0.999803,0.999784,0.878812,0.862078,24193.1,108.037,28.396
64,0,omp,1,1,magic,0.999803,0.999784,0.878812,0.862078,24191.7,108.304,27.9535
64,0,omp,1,1,magic,0.999803,0.999784,0.878812,0.862078,24262.8,108.458,27.9182
64,0,omp,1,1,magic,0.999803,0.999784,0.878812,0.862078,24203.9,108.252,28.0656
64,0,omp,1,1,magic,0.999803,0.999784,0.878812,0.862078,24659.5,109.304,28.3183
