estimators,max_depth,backend,threads,nodes,dataset,accuracy,f1,train_time,predict_time
8,0,seq,1,1,iris,0.966667,0.967963,0.686358,0.008087
16,0,ff,2,1,iris,0.966667,0.967963,1.23925,0.446456
16,0,ff,4,1,iris,0.966667,0.967963,0.869636,0.717321
16,0,omp,2,1,iris,0.966667,0.967963,0.77227,0.012266
16,0,omp,4,1,iris,0.966667,0.967963,0.584228,0.010943
16,0,seq,1,1,iris,0.966667,0.967963,1.50604,0.010769
32,0,ff,2,1,iris,0.966667,0.967963,3.40535,0.587015
32,0,ff,4,1,iris,0.966667,0.967963,4.89635,0.84288
32,0,mpi,1,2,iris,0.966667,0.967963,1.56532,0.098271
32,0,mpi,1,4,iris,0.966667,0.967963,0.660893,4.0448
32,0,omp,2,1,iris,0.966667,0.967963,1.46317,0.017523
32,0,omp,4,1,iris,0.966667,0.967963,3.66899,0.023126
32,0,seq,1,1,iris,0.966667,0.967963,3.30123,0.019538
64,0,ff,2,1,iris,0.966667,0.967963,3.184,0.441715
64,0,ff,4,1,iris,0.966667,0.967963,3.05708,0.696537
64,0,mpi,1,2,iris,0.966667,0.967963,2.90021,0.102448
64,0,mpi,1,4,iris,0.966667,0.967963,1.30948,0.651885
64,0,omp,2,1,iris,0.966667,0.967963,2.81411,0.026366
64,0,omp,4,1,iris,0.966667,0.967963,1.58595,0.022793
64,0,seq,1,1,iris,0.966667,0.967963,4.98805,0.029688
8,0,seq,1,1,breast_cancer,0.955752,0.947845,33.3345,0.025166
16,0,ff,2,1,breast_cancer,0.955752,0.94866,29.9107,0.441868
16,0,ff,4,1,breast_cancer,0.955752,0.94866,17.1339,0.769054
16,0,omp,2,1,breast_cancer,0.955752,0.94866,30.642,0.031204
16,0,omp,4,1,breast_cancer,0.955752,0.94866,31.8775,7.5315
16,0,seq,1,1,breast_cancer,0.955752,0.94866,56.0669,0.03906
32,0,ff,2,1,breast_cancer,0.964602,0.958608,57.8879,0.581033
32,0,ff,4,1,breast_cancer,0.964602,0.958608,34.3406,0.744691
32,0,mpi,1,2,breast_cancer,0.955752,0.94866,59.4106,0.075026
32,0,mpi,1,4,breast_cancer,0.955752,0.947845,30.8809,0.086242
32,0,omp,2,1,breast_cancer,0.964602,0.958608,60.5472,0.049348
32,0,omp,4,1,breast_cancer,0.964602,0.958608,31.8198,0.03229
32,0,seq,1,1,breast_cancer,0.964602,0.958608,113.513,0.077337
64,0,ff,2,1,breast_cancer,0.964602,0.958608,111.135,0.531972
64,0,ff,4,1,breast_cancer,0.964602,0.958608,63.4105,0.827624
64,0,mpi,1,2,breast_cancer,0.964602,0.958608,120.057,0.095177
64,0,mpi,1,4,breast_cancer,0.955752,0.94866,59.0367,0.079926
64,0,omp,2,1,breast_cancer,0.964602,0.958608,110.612,0.079921
64,0,omp,4,1,breast_cancer,0.964602,0.958608,58.404,0.054066
64,0,seq,1,1,breast_cancer,0.964602,0.958608,225.891,0.133876
