dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
iris,seq,64,0,1.0,0.0118751,0.000228081,1,1
iris,omp,64,0,1.0,0.00645461,0.000168906,2,1
iris,ff,64,0,1.0,0.00690017,0.00415499,2,1
iris,omp,64,0,1.0,0.00389567,0.000133833,4,1
iris,ff,64,0,1.0,0.00389906,0.00410841,4,1
iris,omp,64,0,1.0,0.00233624,0.00011616,8,1
iris,ff,64,0,0.993333,0.00251721,0.0032012,8,1
iris,omp,64,0,1.0,0.001749,0.000101294,16,1
iris,ff,64,0,1.0,0.00263326,0.00258941,16,1
iris,seq,128,0,1.0,0.0233602,0.000422993,1,1
iris,omp,128,0,1.0,0.0120669,0.00030344,2,1
iris,ff,128,0,1.0,0.0126051,0.0041474,2,1
iris,omp,128,0,1.0,0.00658422,0.000220538,4,1
iris,ff,128,0,1.0,0.00731454,0.00272466,4,1
iris,omp,128,0,1.0,0.00377058,0.000167202,8,1
iris,ff,128,0,1.0,0.00459694,0.00581503,8,1
iris,omp,128,0,1.0,0.00283278,0.000148638,16,1
iris,ff,128,0,1.0,0.00405084,0.00573836,16,1
iris,seq,256,0,1.0,0.0469165,0.000812409,1,1
iris,omp,256,0,1.0,0.0241172,0.000585801,2,1
iris,ff,256,0,1.0,0.0245691,0.0112657,2,1
iris,omp,256,0,1.0,0.0127267,0.000376059,4,1
iris,ff,256,0,1.0,0.0129954,0.00398484,4,1
iris,omp,256,0,1.0,0.00692362,0.000304727,8,1
iris,ff,256,0,1.0,0.00729236,0.00344395,8,1
iris,omp,256,0,1.0,0.00404715,0.000237493,16,1
iris,ff,256,0,1.0,0.00569258,0.00352309,16,1
iris,seq,512,0,1.0,0.0924291,0.00156292,1,1
iris,omp,512,0,1.0,0.0472093,0.00107277,2,1
iris,ff,512,0,1.0,0.0476424,0.00364179,2,1
iris,omp,512,0,1.0,0.0245893,0.000730679,4,1
iris,ff,512,0,1.0,0.0248055,0.002924,4,1
iris,omp,512,0,1.0,0.0125633,0.000524962,8,1
iris,ff,512,0,1.0,0.0131599,0.00456379,8,1
iris,omp,512,0,1.0,0.00732213,0.000434382,16,1
iris,ff,512,0,1.0,0.0083604,0.0034399,16,1
