estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.50811,0.376969,0.202916
128,0,omp,4,1,iris,1,1,0.966667,0.967963,3.82285,0.133794,0.038222
64,0,mpi,1,1,iris,1,1,0.966667,0.967963,6.77238,0.128983,0.025561
32,0,mpi,32,2,iris,1,1,0.966667,0.967963,2.40333,7.23736,1.10301
128,0,omp,1,1,iris,1,1,0.966667,0.967963,12.7408,0.361461,0.072557
128,0,ff,2,1,iris,1,1,0.966667,0.967963,7.53222,0.732453,0.458448
64,0,mpi,1,1,iris,1,1,0.966667,0.967963,6.76874,0.137316,0.026128
256,0,ff,4,1,iris,1,1,0.966667,0.967963,7.90072,0.897998,0.749421
32,0,ff,16,1,iris,1,1,0.966667,0.967963,2.12467,2.37399,1.83213
128,0,omp,1,1,iris,1,1,0.966667,0.967963,12.9544,0.408515,0.073852
64,0,omp,16,1,iris,1,1,0.966667,0.967963,4.66734,0.521085,0.324729
32,0,mpi,8,2,iris,1,1,0.966667,0.967963,1.27592,8.58947,0.196764
32,0,seq,1,1,iris,1,1,0.966667,0.967963,3.80423,0.145668,0.039389
64,0,mpi,16,2,iris,1,1,0.966667,0.967963,3.36006,6.43302,0.566683
32,0,mpi,32,1,iris,1,1,0.966667,0.967963,3.24032,0.820364,0.61889
128,0,omp,1,1,iris,1,1,0.966667,0.967963,12.8364,0.359862,0.072885
64,0,ff,32,1,iris,1,1,0.966667,0.967963,3.91959,3.90666,3.39109
32,0,mpi,32,2,iris,1,1,0.966667,0.967963,2.87656,6.78303,0.856571
64,0,mpi,1,2,iris,1,1,0.966667,0.967963,3.4483,6.24879,0.031756
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.1708,0.049715,0.016683
128,0,ff,1,1,iris,1,1,0.966667,0.967963,13.9215,0.786724,0.516738
128,0,ff,1,1,iris,1,1,0.966667,0.967963,13.6818,0.855501,0.434793
128,0,ff,1,1,iris,1,1,0.966667,0.967963,13.9483,0.823006,0.490573
64,0,omp,8,1,iris,1,1,0.966667,0.967963,3.04641,0.430417,0.287995
32,0,ff,32,1,iris,1,1,0.966667,0.967963,3.51169,3.97447,3.10725
32,0,ff,2,1,iris,1,1,0.966667,0.967963,2.19371,0.586313,0.408852
128,0,ff,4,1,iris,1,1,0.966667,0.967963,4.33842,0.844236,0.767931
32,0,ff,8,1,iris,1,1,0.966667,0.967963,1.75674,1.52631,0.892566
128,0,seq,1,1,iris,1,1,0.966667,0.967963,12.678,0.319446,0.067128
256,0,omp,32,1,iris,1,1,0.966667,0.967963,10.6492,1.19169,0.714235
256,0,ff,1,1,iris,1,1,0.966667,0.967963,27.1784,1.20765,0.561961
32,0,mpi,16,2,iris,1,1,0.966667,0.967963,2.29176,11.7601,0.663223
128,0,omp,4,1,iris,1,1,0.966667,0.967963,3.79585,0.130061,0.034861
32,0,mpi,8,1,iris,1,1,0.966667,0.967963,1.52061,0.532522,0.149706
32,0,mpi,16,1,iris,1,1,0.966667,0.967963,2.20246,0.564112,0.338769
64,0,omp,2,1,iris,1,1,0.966667,0.967963,3.67491,0.151742,0.029068
256,0,ff,8,1,iris,1,1,0.966667,0.967963,9.83855,1.56463,1.0213
64,0,omp,2,1,iris,1,1,0.966667,0.967963,3.57535,0.11964,0.030728
128,0,ff,2,1,iris,1,1,0.966667,0.967963,7.49815,0.745464,0.541635
64,0,omp,16,1,iris,1,1,0.966667,0.967963,3.21589,0.42045,0.382587
64,0,mpi,16,1,iris,1,1,0.966667,0.967963,2.98864,0.618931,0.391659
64,0,ff,32,1,iris,1,1,0.966667,0.967963,3.96814,4.19662,3.32614
32,0,mpi,32,1,iris,1,1,0.966667,0.967963,3.23849,0.963623,0.666974
32,0,mpi,8,1,iris,1,1,0.966667,0.967963,2.50274,0.51599,0.159235
64,0,mpi,1,2,iris,1,1,0.966667,0.967963,3.38411,11.736,0.021013
128,0,omp,32,1,iris,1,1,0.966667,0.967963,7.73899,1.05838,0.765626
32,0,mpi,2,1,iris,1,1,0.966667,0.967963,1.90208,0.060102,0.014144
128,0,omp,8,1,iris,1,1,0.966667,0.967963,4.17545,0.482809,0.179289
256,0,ff,8,1,iris,1,1,0.966667,0.967963,8.14146,1.30466,1.08252
64,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.93724,11.3997,0.021876
64,0,omp,2,1,iris,1,1,0.966667,0.967963,3.57253,0.121648,0.030252
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.45524,0.447527,0.308055
128,0,ff,2,1,iris,1,1,0.966667,0.967963,7.5547,0.765757,0.657711
128,0,seq,1,1,iris,1,1,0.966667,0.967963,12.802,0.311963,0.068142
64,0,mpi,32,2,iris,1,1,0.966667,0.967963,2.40131,7.12024,1.18185
128,0,seq,1,1,iris,1,1,0.966667,0.967963,12.7994,0.307202,0.067117
64,0,mpi,4,1,iris,1,1,0.966667,0.967963,2.0385,0.079925,0.01441
64,0,mpi,32,1,iris,1,1,0.966667,0.967963,4.12191,1.19321,0.828236
32,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.04842,9.06735,0.027692
256,0,omp,4,1,iris,1,1,0.966667,0.967963,7.35846,0.236317,0.059984
32,0,mpi,4,2,iris,1,1,0.966667,0.967963,0.719834,9.17818,0.013777
64,0,omp,4,1,iris,1,1,0.966667,0.967963,2.09843,0.081033,0.021027
64,0,ff,2,1,iris,1,1,0.966667,0.967963,4.12522,0.599239,0.529926
32,0,mpi,16,1,iris,1,1,0.966667,0.967963,1.91501,0.742973,0.398246
32,0,mpi,32,2,iris,1,1,0.966667,0.967963,2.13673,7.63951,0.881135
256,0,seq,1,1,iris,1,1,0.966667,0.967963,25.7313,0.570747,0.130309
32,0,seq,1,1,iris,1,1,0.966667,0.967963,3.80082,0.148822,0.024059
32,0,omp,32,1,iris,1,1,0.966667,0.967963,2.76421,1.00625,0.631604
64,0,omp,8,1,iris,1,1,0.966667,0.967963,3.32686,0.443475,0.138493
128,0,ff,2,1,iris,1,1,0.966667,0.967963,7.4688,0.67891,0.521746
64,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.84423,8.18026,0.016815
256,0,omp,32,1,iris,1,1,0.966667,0.967963,8.5546,0.998383,0.513314
64,0,mpi,8,1,iris,1,1,0.966667,0.967963,3.18742,0.553015,0.189916
32,0,mpi,8,2,iris,1,1,0.966667,0.967963,0.977244,8.99735,0.121129
128,0,ff,32,1,iris,1,1,0.966667,0.967963,7.10155,4.09837,3.72736
32,0,seq,1,1,iris,1,1,0.966667,0.967963,3.85747,0.16277,0.039208
32,0,omp,2,1,iris,1,1,0.966667,0.967963,1.84602,0.074431,0.020034
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.17623,0.055022,0.015983
64,0,ff,16,1,iris,1,1,0.966667,0.967963,3.94308,2.28934,1.78833
32,0,ff,16,1,iris,1,1,0.966667,0.967963,2.39224,2.23215,1.70354
256,0,ff,1,1,iris,1,1,0.966667,0.967963,27.1089,1.3172,0.606008
256,0,omp,2,1,iris,1,1,0.966667,0.967963,13.5404,0.429292,0.08793
128,0,ff,16,1,iris,1,1,0.966667,0.967963,8.86759,2.28145,1.76745
32,0,ff,4,1,iris,1,1,0.966667,0.967963,2.51643,0.89224,0.570303
32,0,omp,16,1,iris,1,1,0.966667,0.967963,1.82821,0.573384,0.242542
64,0,mpi,1,1,iris,1,1,0.966667,0.967963,6.79216,0.13334,0.025707
32,0,ff,4,1,iris,1,1,0.966667,0.967963,1.48176,0.750749,0.591891
128,0,ff,2,1,iris,1,1,0.966667,0.967963,7.52802,0.790684,0.554388
32,0,mpi,16,1,iris,1,1,0.966667,0.967963,2.10877,0.907939,0.3962
256,0,seq,1,1,iris,1,1,0.966667,0.967963,25.7986,0.569421,0.130593
256,0,ff,8,1,iris,1,1,0.966667,0.967963,8.32797,1.45618,1.12966
64,0,mpi,1,1,iris,1,1,0.966667,0.967963,6.72672,0.159427,0.025779
64,0,mpi,32,1,iris,1,1,0.966667,0.967963,3.96664,1.09665,0.784101
64,0,ff,16,1,iris,1,1,0.966667,0.967963,3.03494,2.35232,1.96234
32,0,omp,32,1,iris,1,1,0.966667,0.967963,2.89901,1.12961,0.856007
64,0,ff,1,1,iris,1,1,0.966667,0.967963,7.02443,0.685279,0.375371
64,0,ff,1,1,iris,1,1,0.966667,0.967963,7.18958,0.693842,0.533474
32,0,ff,32,1,iris,1,1,0.966667,0.967963,4.44491,4.11836,2.86687
256,0,omp,32,1,iris,1,1,0.966667,0.967963,8.59797,1.18834,0.680851
64,0,ff,2,1,iris,1,1,0.966667,0.967963,4.01261,0.656196,0.534906
256,0,ff,32,1,iris,1,1,0.966667,0.967963,9.24885,4.58588,3.20191
64,0,mpi,1,2,iris,1,1,0.966667,0.967963,3.43192,6.52104,0.023834
64,0,mpi,32,2,iris,1,1,0.966667,0.967963,2.67363,445.345,1.31649
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.1636,0.051802,0.016121
256,0,ff,4,1,iris,1,1,0.966667,0.967963,9.05013,0.998129,0.657455
128,0,ff,32,1,iris,1,1,0.966667,0.967963,5.73237,3.93961,3.12097
256,0,ff,16,1,iris,1,1,0.966667,0.967963,12.2159,2.33768,2.06626
32,0,mpi,4,1,iris,1,1,0.966667,0.967963,1.18929,0.055252,0.013497
64,0,omp,2,1,iris,1,1,0.966667,0.967963,3.57945,0.123907,0.030035
32,0,omp,8,1,iris,1,1,0.966667,0.967963,1.54753,0.193537,0.141321
32,0,omp,16,1,iris,1,1,0.966667,0.967963,2.32384,0.360475,0.390777
64,0,omp,8,1,iris,1,1,0.966667,0.967963,2.55016,0.400736,0.128255
64,0,mpi,1,2,iris,1,1,0.966667,0.967963,3.34926,11.617,0.032679
64,0,ff,2,1,iris,1,1,0.966667,0.967963,3.9872,0.709171,0.506514
64,0,ff,32,1,iris,1,1,0.966667,0.967963,4.2321,3.9237,3.19478
256,0,ff,16,1,iris,1,1,0.966667,0.967963,9.06778,2.17824,1.55611
256,0,ff,1,1,iris,1,1,0.966667,0.967963,27.0296,1.17551,0.53706
256,0,omp,1,1,iris,1,1,0.966667,0.967963,25.5731,0.671633,0.136033
128,0,omp,2,1,iris,1,1,0.966667,0.967963,6.87805,0.21208,0.049465
32,0,mpi,4,2,iris,1,1,0.966667,0.967963,0.711913,12.5291,0.013493
128,0,omp,8,1,iris,1,1,0.966667,0.967963,4.20224,0.20081,0.339408
128,0,ff,4,1,iris,1,1,0.966667,0.967963,4.23761,1.00196,0.684244
64,0,mpi,4,1,iris,1,1,0.966667,0.967963,2.03804,0.076208,0.016256
32,0,mpi,1,2,iris,1,1,0.966667,0.967963,1.766,11.723,0.01797
32,0,omp,4,1,iris,1,1,0.966667,0.967963,1.17425,0.052264,0.016782
32,0,omp,16,1,iris,1,1,0.966667,0.967963,2.22472,0.558769,0.352696
32,0,omp,2,1,iris,1,1,0.966667,0.967963,1.83544,0.072163,0.020236
64,0,omp,16,1,iris,1,1,0.966667,0.967963,3.67245,1.24211,0.510941
